0024-0803-0095;0024-0803;c;80395;True;;24-803-95;24-803;Rozdział 80395;Pozostała działalność;20;0;400;200;0;0;0;0;600
0024-0854;0024;b;854;False;;24-854;24;Dział 854;Edukacyjna opieka wychowawcza;21;0;103;26006;0;0;0;0;26109
0024-0854-0010;0024-0854;c;85410;True;;24-854-10;24-854;Rozdział 85410;Internaty i bursy szkolne;22;0;103;25932;0;0;0;0;26035
0024-0854-0046;0024-0854;c;85446;True;;24-854-46;24-854;Rozdział 85446;Dokształcanie i doskonalenie nauczycieli;23;0;0;74;0;0;0;0;74
0024-0921;0024;b;921;False;;24-921;24;Dział 921;Kultura i ochrona dziedzictwa narodowego;24;862641;4213;116168;161295;0;0;73342;1217659
0024-0921-0001;0024-0921;c;92101;True;;24-921-01;24-921;Rozdział 92101;Instytucje kinematografii;25;1000;0;0;650;0;0;0;1650
0024-0921-0002;0024-0921;c;92102;True;;24-921-02;24-921;Rozdział 92102;Polski Instytut Sztuki Filmowej;26;9781;0;0;0;0;0;0;9781
0024-0921-0005;0024-0921;c;92105;True;;24-921-05;24-921;Rozdział 92105;Pozostałe zadania w zakresie kultury;27;12500;4000;3844;0;0;0;3999;24343
0024-0921-0006;0024-0921;c;92106;True;;24-921-06;24-921;Rozdział 92106;Teatry;28;142454;0;0;1465;0;0;4210;148129
0024-0921-0008;0024-0921;c;92108;True;;24-921-08;24-921;Rozdział 92108;Filharmonie, orkiestry, chóry i kapele;29;50162;0;0;0;0;0;382;50544
0024-0921-0009;0024-0921;c;92109;True;;24-921-09;24-921;Rozdział 92109;Domy i ośrodki kultury, świetlice i kluby;30;2613;0;0;0;0;0;156;2769
0024-0921-0010;0024-0921;c;92110;True;;24-921-10;24-921;Rozdział 92110;Galerie i biura wystaw artystycznych;31;9259;0;0;1600;0;0;0;10859
0024-0921-0013;0024-0921;c;92113;True;;24-921-13;24-921;Rozdział 92113;Centra kultury i sztuki;32;128842;0;0;11210;0;0;1173;141225
0024-0921-0014;0024-0921;c;92114;True;;24-921-14;24-921;Rozdział 92114;Pozostałe instytucje kultury;33;75486;0;0;13300;0;0;3274;92060
0024-0921-0016;0024-0921;c;92116;True;;24-921-16;24-921;Rozdział 92116;Biblioteki;34;86491;0;0;13200;0;0;0;99691
0024-0921-0017;0024-0921;c;92117;True;;24-921-17;24-921;Rozdział 92117;Archiwa;35;0;105;96668;13550;0;0;421;110744
0024-0921-0018;0024-0921;c;92118;True;;24-921-18;24-921;Rozdział 92118;Muzea;36;260470;0;0;37420;0;0;35410;333300
0024-0921-0019;0024-0921;c;92119;True;;24-921-19;24-921;Rozdział 92119;Ośrodki ochrony i dokumentacji zabytków;37;20992;0;0;500;0;0;805;22297
0024-0921-0020;0024-0921;c;92120;True;;24-921-20;24-921;Rozdział 92120;Ochrona zabytków i opieka nad zabytkami;38;37000;100;168;0;0;0;19497;56765
0024-0921-0022;0024-0921;c;92122;True;;24-921-22;24-921;Rozdział 92122;Rada Ochrony Pamięci Walk i Męczeństwa;39;1000;8;15288;0;0;0;0;16296
0024-0921-0095;0024-0921;c;92195;True;;24-921-95;24-921;Rozdział 92195;Pozostała działalność;40;24591;0;200;68400;0;0;4015;97206
0025;;a;25;False;;25;;Część 25;KULTURA FIZYCZNA;1;207454;21565;32148;749068;0;0;0;1010235
0025-0750;0025;b;750;False;;25-750;25;Dział 750;Administracja publiczna;2;0;5;24087;450;0;0;0;24542
0025-0750-0001;0025-0750;c;75001;True;;25-750-01;25-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;3;0;5;23531;450;0;0;0;23986
0025-0750-0076;0025-0750;c;75076;True;;25-750-76;25-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;4;0;0;556;0;0;0;0;556
0025-0752;0025;b;752;False;;25-752;25;Dział 752;Obrona narodowa;5;0;0;10;0;0;0;0;10
0025-0752-0012;0025-0752;c;75212;True;;25-752-12;25-752;Rozdział 75212;Pozostałe wydatki obronne;6;0;0;10;0;0;0;0;10
0025-0926;0025;b;926;False;;25-926;25;Dział 926;Kultura fizyczna;7;207454;21560;8051;748618;0;0;0;985683
0025-0926-0001;0025-0926;c;92601;True;;25-926-01;25-926;Rozdział 92601;Obiekty sportowe;8;0;0;0;250000;0;0;0;250000
0025-0926-0003;0025-0926;c;92603;True;;25-926-03;25-926;Rozdział 92603;Komisja do Zwalczania Dopingu w Sporcie;9;0;0;1325;10;0;0;0;1335
0025-0926-0004;0025-0926;c;92604;True;;25-926-04;25-926;Rozdział 92604;Instytucje kultury fizycznej;10;20270;0;0;2831;0;0;0;23101
0025-0926-0005;0025-0926;c;92605;True;;25-926-05;25-926;Rozdział 92605;Zadania w zakresie kultury fizycznej;11;183704;0;0;0;0;0;0;183704
0025-0926-0095;0025-0926;c;92695;True;;25-926-95;25-926;Rozdział 92695;Pozostała działalność;12;3480;21560;6726;495777;0;0;0;527543
0026;;a;26;False;;26;;Część 26;ŁĄCZNOŚĆ;1;1900;5;16983;0;0;0;34;18922
0026-0600;0026;b;600;False;;26-600;26;Dział 600;Transport i łączność;2;1900;0;207;0;0;0;5;2112
0026-0600-0046;0026-0600;c;60046;True;;26-600-46;26-600;Rozdział 60046;Operatorzy pocztowi;3;1900;0;0;0;0;0;0;1900
0026-0600-0052;0026-0600;c;60052;True;;26-600-52;26-600;Rozdział 60052;Zadania w zakresie telekomunikacji;4;0;0;207;0;0;0;5;212
0026-0750;0026;b;750;False;;26-750;26;Dział 750;Administracja publiczna;5;0;5;15611;0;0;0;29;15645
0026-0750-0001;0026-0750;c;75001;True;;26-750-01;26-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;6;0;5;15266;0;0;0;29;15300
0026-0750-0076;0026-0750;c;75076;True;;26-750-76;26-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;7;0;0;345;0;0;0;0;345
0026-0752;0026;b;752;False;;26-752;26;Dział 752;Obrona narodowa;8;0;0;1165;0;0;0;0;1165
0026-0752-0012;0026-0752;c;75212;True;;26-752-12;26-752;Rozdział 75212;Pozostałe wydatki obronne;9;0;0;1165;0;0;0;0;1165
0027;;a;27;False;;27;;Część 27;INFORMATYZACJA;1;0;62;35853;390;0;0;46073;82378
0027-0150;0027;b;150;False;;27-150;27;Dział 150;Przetwórstwo przemysłowe;2;0;0;0;0;0;0;31336;31336
0027-0150-0012;0027-0150;c;15012;True;;27-150-12;27-150;Rozdział 15012;Polska Agencja Rozwoju Przedsiębiorczości;3;0;0;0;0;0;0;31336;31336
0027-0720;0027;b;720;False;;27-720;27;Dział 720;Informatyka;4;0;30;1557;0;0;0;1493;3080
0027-0720-0095;0027-0720;c;72095;True;;27-720-95;27-720;Rozdział 72095;Pozostała działalność;5;0;30;1557;0;0;0;1493;3080
0027-0750;0027;b;750;False;;27-750;27;Dział 750;Administracja publiczna;6;0;32;34296;390;0;0;13244;47962
0027-0750-0001;0027-0750;c;75001;True;;27-750-01;27-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;27;5995;240;0;0;6238;12500
0027-0750-0076;0027-0750;c;75076;True;;27-750-76;27-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;8;0;0;25220;0;0;0;0;25220
0027-0750-0095;0027-0750;c;75095;True;;27-750-95;27-750;Rozdział 75095;Pozostała działalność;9;0;5;3081;150;0;0;7006;10242
0028;;a;28;False;;28;;Część 28;NAUKA;1;2888498;3762;1203064;254248;0;0;271341;4620913
0028-0730;0028;b;730;False;;28-730;28;Dział 730;Nauka;2;2880248;3692;1004778;240588;0;0;257418;4386724
