SĄDY POWSZECHNE;15;Sąd Apelacyjny w Gdańsku;15/04;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;22743;0;0;0;0;0;22743
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Gdańsku;15/04;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;31409;623411;14020;0;0;0;668840
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Gdańsku;15/04;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;11546;0;0;0;0;11546
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Gdańsku;15/04;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;11;5421;0;0;0;0;5432
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Poznaniu;15/05;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;16742;0;0;0;0;0;16742
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Poznaniu;15/05;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;14700;429280;35557;0;0;0;479537
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Poznaniu;15/05;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;7928;0;0;0;0;7928
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Poznaniu;15/05;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;8;4377;0;0;0;0;4385
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Krakowie;15/06;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;18776;0;0;0;0;0;18776
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Krakowie;15/06;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;21185;538120;23174;0;0;0;582479
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Krakowie;15/06;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;5467;0;0;0;0;5467
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Krakowie;15/06;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;5;3883;0;0;0;0;3888
SĄDY POWSZECHNE;15;Sąd Apelacyjny we Wrocławiu;15/07;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;21115;0;0;0;0;0;21115
SĄDY POWSZECHNE;15;Sąd Apelacyjny we Wrocławiu;15/07;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;22351;535223;21713;0;0;0;579287
SĄDY POWSZECHNE;15;Sąd Apelacyjny we Wrocławiu;15/07;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;7600;0;0;0;0;7600
SĄDY POWSZECHNE;15;Sąd Apelacyjny we Wrocławiu;15/07;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;18;4946;0;0;0;0;4964
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Łodzi;15/08;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;17859;0;0;0;0;0;17859
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Łodzi;15/08;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;21888;473221;18641;0;0;0;513750
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Łodzi;15/08;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;5597;0;0;0;0;5597
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Łodzi;15/08;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;11;4699;0;0;0;0;4710
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Rzeszowie;15/09;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;8209;0;0;0;0;0;8209
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Rzeszowie;15/09;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;9436;218747;14746;0;0;0;242929
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Rzeszowie;15/09;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;1794;0;0;0;0;1794
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Rzeszowie;15/09;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;5;2127;0;0;0;0;2132
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Białymstoku;15/10;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;10884;0;0;0;0;0;10884
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Białymstoku;15/10;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;17881;320066;4209;0;0;0;342156
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Białymstoku;15/10;Wymiar sprawiedliwości;755;Pozostała działalność;75595;;;;0;0;4166;0;0;0;0;4166
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Białymstoku;15/10;Oświata i wychowanie;801;Inne formy kształcenia osobno niewymienione;80144;;;;0;7;3320;0;0;0;0;3327
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Lublinie;15/11;Obowiązkowe ubezpieczenia społeczne;753;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;75312;;;;0;14337;0;0;0;0;0;14337
SĄDY POWSZECHNE;15;Sąd Apelacyjny w Lublinie;15/11;Wymiar sprawiedliwości;755;Jednostki sądownictwa powszechnego;75502;;;;0;16233;404585;35764;0;0;0;456582
