"Grupa paragrafów";"Rodzaj finansowania wydatków";"Plan po zmianach";"Zaangażowanie";"Wykonanie wydatków";"Zobowiązania ogółem";"Zobowiązania wymagalne powstałe w latach ubiegłych";"Zobowiązania wymagalne powstałe w roku bieżącym";"Wydatki które nie wygasły z upływem bieżącego roku budżetowego"
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";254000;84254;81991;11262;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";669000;617293;615981;1313;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8658000;7843752;7818106;35374;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3541000;3009838;3001141;8697;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";8426000;8327072;8327072;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1960000;1955513;1955513;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";173000;170965;170965;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1000;44;44;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";3000;3000;3000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";10000;5832;5832;2237;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";7000;6036;6036;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";864000;863225;863225;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";6000;1520;1520;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";23000;4798;4798;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1298000;1113722;1113722;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";444000;348337;348337;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";811000;650659;650659;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";7731000;6173388;6173388;8745;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";8993000;7446939;7446939;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";3471000;3056297;3056297;0;0;0;0
"";"";161070000;154078125;154078125;1904452;0;0;0
"";"";161070000;154078125;154078125;1904452;0;0;0
"";"";86070000;80342328;80342328;1904452;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";72385;66923;66923;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";17071000;16917960;16917960;0;0;0;0
"Świadczenia na rzecz osób fizycznych";"Finansowanie ze środków własnych";25000;24000;24000;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";36341365;34964875;34964875;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1500000;1489570;1489570;1509384;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4710000;4390354;4390354;228802;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";795615;646288;646288;28526;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";188635;188635;188635;16485;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1869000;1398276;1398276;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2740000;2382750;2382750;11246;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";21000;19876;19876;129;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";110000;81334;81334;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2340000;1536737;1536737;10417;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";253000;206343;206343;2729;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";4021000;3531902;3531902;34844;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";487000;401385;401385;11252;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";129527;129490;129490;10273;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";231473;175226;175226;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";392000;329184;329184;3157;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";40000;8588;8588;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";482000;382259;382259;3463;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2788000;2781607;2781607;4931;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2100000;1785317;1785317;6456;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";1680000;1559234;1559234;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";462000;449611;449611;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";2000;450;450;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";19000;15428;15428;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";9000;4810;4810;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";305000;174376;174376;4448;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";180000;146028;146028;0;0;0;0
"Wydatki bieżące jednostek budżetowych";"Finansowanie ze środków własnych";315000;314306;314306;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";4390000;3839208;3839208;17911;0;0;0
"";"";75000000;73735797;73735797;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";25400000;25013517;25013517;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";32343000;32278173;32278173;0;0;0;0
"Dotacje i subwencje";"Finansowanie ze środków własnych";2257000;2243895;2243895;0;0;0;0
"Wydatki majątkowe";"Finansowanie ze środków własnych";15000000;14200212;14200212;0;0;0;0
"";"";83698000;80855338;80855338;4138690;0;0;0
"";"";67232000;64524623;64524623;4138690;0;0;0
"";"";67232000;64524623;64524623;4138690;0;0;0
