"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"Oświata i wychowanie";801;"ŚRODOWISKO";41;"Dokształcanie i doskonalenie nauczycieli";80146;"";"";0;0;49;0;0;0;0;49
"Oświata i wychowanie";801;"ŚRODOWISKO";41;"Stołówki szkolne i przedszkolne";80148;"";"";0;139;3276;12;0;0;0;3427
"Oświata i wychowanie";801;"ŚRODOWISKO";41;"Pozostała działalność";80195;"";"";0;57;593;7;0;0;0;657
"ŚRODOWISKO";41;"Edukacyjna opieka wychowawcza";854;"";"";"";"";0;260;12768;486;0;0;0;13514
"Edukacyjna opieka wychowawcza";854;"ŚRODOWISKO";41;"Internaty i bursy szkolne";85410;"";"";0;260;12738;486;0;0;0;13484
"Edukacyjna opieka wychowawcza";854;"ŚRODOWISKO";41;"Dokształcanie i doskonalenie nauczycieli";85446;"";"";0;0;30;0;0;0;0;30
"ŚRODOWISKO";41;"Gospodarka komunalna i ochrona środowiska";900;"";"";"";"";0;206;117309;396;0;159251;0;277162
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Ochrona różnorodności biologicznej i krajobrazu";90008;"";"";0;0;49;0;0;0;0;49
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Fundusz Ochrony Środowiska i Gospodarki Wodnej";90011;"";"";0;0;0;0;0;152244;0;152244
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Inspekcja Ochrony Środowiska";90014;"";"";0;20;16395;40;0;3004;0;19459
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Generalna Dyrekcja Ochrony Środowiska";90022;"";"";0;8;16755;0;0;1346;0;18109
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Regionalne dyrekcje ochrony środowiska";90023;"";"";0;177;82648;326;0;2170;0;85321
"Gospodarka komunalna i ochrona środowiska";900;"ŚRODOWISKO";41;"Pozostała działalność";90095;"";"";0;1;1462;30;0;487;0;1980
"ŚRODOWISKO";41;"Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody";925;"";"";"";"";0;2406;72292;620;0;8481;0;83799
"Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody";925;"ŚRODOWISKO";41;"Parki narodowe";92501;"";"";0;2395;72287;620;0;8481;0;83783
"Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody";925;"ŚRODOWISKO";41;"Pozostała działalność";92595;"";"";0;11;5;0;0;0;0;16
"SPRAWY WEWNĘTRZNE";42;"";"";"";"";"";"";188947;6943288;9489936;401561;0;78281;0;17102013
"SPRAWY WEWNĘTRZNE";42;"Działalność usługowa";710;"";"";"";"";10;0;0;0;0;0;0;10
"Działalność usługowa";710;"SPRAWY WEWNĘTRZNE";42;"Agencja Mienia Wojskowego";71032;"";"";10;0;0;0;0;0;0;10
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"";"";"";"";400;152;392224;35369;0;61529;0;489674
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";400;118;125428;5893;0;1631;0;133470
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"Centrum Personalizacji Dokumentów";75070;"";"";0;27;203885;16037;0;0;0;219949
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"Urząd do Spraw Cudzoziemców";75073;"";"";0;7;24405;1300;0;516;0;26228
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;24909;11590;0;0;0;36499
"SPRAWY WEWNĘTRZNE";42;"Administracja publiczna";750;"Pozostała działalność";75095;"";"";0;0;13597;549;0;59382;0;73528
"SPRAWY WEWNĘTRZNE";42;"Obowiązkowe ubezpieczenia społeczne";753;"";"";"";"";0;6541775;59951;6344;0;0;0;6608070
"Obowiązkowe ubezpieczenia społeczne";753;"SPRAWY WEWNĘTRZNE";42;"Świadczenia pieniężne z zaopatrzenia emerytalnego";75301;"";"";0;6541775;59951;6344;0;0;0;6608070
"SPRAWY WEWNĘTRZNE";42;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"";"";"";"";99010;385354;8997103;313480;0;16752;0;9811699
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Komenda Główna Policji";75402;"";"";0;14334;453297;36007;0;55;0;503693
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Jednostki terenowe Policji ";75403;"";"";0;2234;332353;128209;0;0;0;462796
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Komendy wojewódzkie Policji ";75404;"";"";0;62821;1732437;15541;0;8190;0;1818989
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Komendy powiatowe Policji ";75405;"";"";0;230697;5005494;75430;0;5842;0;5317463
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Straż Graniczna";75406;"";"";0;64045;1164370;13845;0;2653;0;1244913
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Biuro Ochrony Rządu";75408;"";"";0;5533;177042;7200;0;0;0;189775
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Komenda Główna Państwowej Straży Pożarnej";75409;"";"";56981;4379;84321;19619;0;12;0;165312
"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";754;"SPRAWY WEWNĘTRZNE";42;"Ochotnicze straże pożarne";75412;"";"";12000;0;0;16247;0;0;0;28247
