"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"Obrona narodowa";752;"PROKURATORIA  GENERALNA SKARBU PAŃSTWA";74;"Pozostałe wydatki obronne";75212;"";"";0;0;4;0;0;0;0;4
"RZĄDOWE CENTRUM LEGISLACJI";75;"";"";"";"";"";"";0;4;22709;2000;0;31;0;24744
"RZĄDOWE CENTRUM LEGISLACJI";75;"Administracja publiczna";750;"";"";"";"";0;4;22709;2000;0;31;0;24744
"RZĄDOWE CENTRUM LEGISLACJI";75;"Administracja publiczna";750;"Rządowe Centrum Legislacji";75006;"";"";0;4;22709;2000;0;31;0;24744
"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"";"";"";"";"";"";0;130;79745;6204;0;2475;0;88554
"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Transport i łączność";600;"";"";"";"";0;130;79544;6204;0;2475;0;88353
"Transport i łączność";600;"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Urząd Komunikacji Elektronicznej";60047;"";"";0;130;79544;6204;0;2475;0;88353
"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Administracja publiczna";750;"";"";"";"";0;0;133;0;0;0;0;133
"Administracja publiczna";750;"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;133;0;0;0;0;133
"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Obrona narodowa";752;"";"";"";"";0;0;68;0;0;0;0;68
"Obrona narodowa";752;"URZĄD KOMUNIKACJI  ELEKTRONICZNEJ";76;"Pozostałe wydatki obronne";75212;"";"";0;0;68;0;0;0;0;68
"OBSŁUGA ZADŁUśENIA ZAGRANICZNEGO";78;"";"";"";"";"";"";0;0;0;0;8812800;0;0;8812800
"OBSŁUGA ZADŁUśENIA ZAGRANICZNEGO";78;"Obsługa długu publicznego";757;"";"";"";"";0;0;0;0;8812800;0;0;8812800
"OBSŁUGA ZADŁUśENIA ZAGRANICZNEGO";78;"Obsługa długu publicznego";757;"Obsługa zadłużenia zagranicznego,  należności i innych operacji";75701;"";"";0;0;0;0;8779284;0;0;8779284
"OBSŁUGA ZADŁUśENIA ZAGRANICZNEGO";78;"Obsługa długu publicznego";757;"Rozliczenia z tytułu poręczeń i gwarancji udzielonych przez Skarb Państwa lub jednostkę samorządu terytorialnego";75704;"";"";0;0;0;0;33516;0;0;33516
"OBSŁUGA DŁUGU KRAJOWEGO";79;"";"";"";"";"";"";0;0;0;0;29621700;0;0;29621700
"OBSŁUGA DŁUGU KRAJOWEGO";79;"Obsługa długu publicznego";757;"";"";"";"";0;0;0;0;29621700;0;0;29621700
"Obsługa długu publicznego";757;"OBSŁUGA DŁUGU KRAJOWEGO";79;"Obsługa skarbowych papierów wartościowych oraz innych instrumentów finansowych na rynku krajowym";75703;"";"";0;0;0;0;28825700;0;0;28825700
"Obsługa długu publicznego";757;"OBSŁUGA DŁUGU KRAJOWEGO";79;"Rozliczenia z tytułu poręczeń i gwarancji udzielonych przez Skarb Państwa lub jednostkę samorządu terytorialnego";75704;"";"";0;0;0;0;796000;0;0;796000
"REGIONALNE IZBY OBRACHUNKOWE";80;"";"";"";"";"";"";0;59;100808;1829;0;55;0;102751
"REGIONALNE IZBY OBRACHUNKOWE";80;"Administracja publiczna";750;"";"";"";"";0;59;100808;1829;0;55;0;102751
"REGIONALNE IZBY OBRACHUNKOWE";80;"Administracja publiczna";750;"Regionalne izby obrachunkowe";75015;"";"";0;59;100808;1829;0;55;0;102751
"REZERWA OGÓLNA";81;"";"";"";"";"";"";0;0;95000;0;0;0;0;95000
"REZERWA OGÓLNA";81;"Różne rozliczenia";758;"";"";"";"";0;0;95000;0;0;0;0;95000
"Różne rozliczenia";758;"REZERWA OGÓLNA";81;"Ogólna rezerwa budżetowa Rady Ministrów";75817;"";"";0;0;95000;0;0;0;0;95000
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"";"";"";"";"";"";48357658;0;0;0;0;0;0;48357658
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"";"";"";"";48357658;0;0;0;0;0;0;48357658
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część oświatowa subwencji ogólnej dla jednostek samorządu terytorialnego";75801;"";"";36924829;0;0;0;0;0;0;36924829
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Uzupełnienie subwencji ogólnej dla jednostek samorządu terytorialnego";75802;"";"";335999;0;0;0;0;0;0;335999
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część wyrównawcza subwencji ogólnej dla powiatów";75803;"";"";1583843;0;0;0;0;0;0;1583843
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część wyrównawcza subwencji ogólnej dla województw";75804;"";"";1112103;0;0;0;0;0;0;1112103
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część rekompensująca  subwencji ogólnej dla gmin ";75805;"";"";25000;0;0;0;0;0;0;25000
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część wyrównawcza subwencji ogólnej dla gmin";75807;"";"";5991329;0;0;0;0;0;0;5991329
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część równoważąca subwencji ogólnej dla gmin";75831;"";"";619427;0;0;0;0;0;0;619427
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część równoważąca subwencji ogólnej dla powiatów";75832;"";"";1137235;0;0;0;0;0;0;1137235
"SUBWENCJE OGÓLNE DLA JEDNOSTEK SAMORZĄDU TERYTORIALNEGO";82;"Różne rozliczenia";758;"Część regionalna subwencji ogólnej dla województw";75833;"";"";627893;0;0;0;0;0;0;627893
"REZERWY CELOWE (ogółem)";83;"";"";"";"";"";"";3408564;11000;4025369;2472399;0;7907757;0;17825089
"REZERWY CELOWE (ogółem)";83;"Różne rozliczenia";758;"";"";"";"";3408564;11000;4025369;2472399;0;7907757;0;17825089
"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Rezerwy ogólne i celowe (ogółem)";75818;"";"";3408564;11000;4025369;2472399;0;7907757;0;17825089
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Przeciwdziałanie i usuwanie skutków klęsk żywiołowych";1;0;0;1074627;348000;0;0;0;1422627
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Infrastruktura drogowa i portowa";2;0;0;0;98000;0;0;0;98000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Program poakcesyjnego wsparcia obszarów wiejskich";3;0;0;50390;0;0;0;0;50390
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dopłaty do paliwa rolniczego";4;720000;0;0;0;0;0;0;720000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Współfinansowanie projektów z udziałem środków europejskich, finansowanie projektów z udziałem środków otrzymywanych od państw członkowskich Europejskiego Porozumienia o Wolnym Handlu (EFTA), projektów z udziałem innych środków pochodzących z budżetu UE nie ujętych w budżecie środków europejskich, finansowanie projektów pomocy technicznej, finansowanie Wspólnej Polityki Rolnej, a także na pokrycie potrzeb wynikających z różnic kursowych przy realizacji programów finansowanuch z UE";5;0;0;0;0;0;7872305;0;7872305
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Budowa i funkcjonowanie systemu powiadamiania ratunkowego na terenie kraju";6;0;0;30000;39100;0;0;0;69100
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie kosztów podniesienia jakości oświaty";7;0;0;11888;0;0;0;0;11888
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Stypendia Prezesa Rady Ministrów dla uczniów szczególnie uzdolnionych";8;0;11000;0;0;0;0;0;11000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Zwalczanie chorób zakaźnych zwierząt, badania monitoringowe pozostałości chemicznych i biologicznych w tkankach zwierząt, produktach pochodzenia zwierzęcego i paszach, finansowanie zadań zleconych przez Komisję Europejską oraz dofinansowanie kosztów realizacji zadań Inspekcji Weterynaryjnej";9;0;0;257100;0;0;0;0;257100
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Pomoc dla repatriantów";10;9066;0;0;0;0;0;0;9066
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Pomoc dla społeczności romskiej";11;10000;0;0;0;0;0;0;10000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Pomoc dla cudzoziemców, którzy uzyskali status uchodźcy lub ochronę uzupełniającą na terytorium Rzeczypospolitej Polskiej i wymagającą wsparcia w związku z procesem integracji";12;2900;0;0;0;0;0;0;2900
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Zobowiązania wymagalne Skarbu Państwa";13;0;0;285735;0;0;0;0;285735
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na finansowanie przez Krajowe Biuro Wyborcze ustawowo określonych zadań dotyczących wyborów i referendów";14;0;0;189440;1240;0;0;0;190680
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Program dla Odry  2006";15;0;0;0;75099;0;0;0;75099
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Rezerwa płacowa na zmiany organizacyjne i nowe zadania oraz na wynagrodzenia osób zajmujących się programami finansowanymi z budżetu UE oraz środkami z pomocy udzielanej przez państwa członkowskie EFTA";16;0;0;15220;0;0;35452;0;50672
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na szkolenia i wynagrodzenia na nowe mianowania urzędników służby cywilnej oraz skutki przechodzące z 2010 r. oraz zwiększenie wynagrodzeń nowo powołanych ekspertów w Urzędzie Patentowym Rzeczypospolitej Polskiej";17;0;0;13958;0;0;0;0;13958
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Rezerwa na zwiększenie wynagrodzeń przeznaczonych na wypłaty wynagrodzeń dla osób odwołanych z kierowniczych stanowisk państwowych, a także nagród jubileuszowych, odpraw emerytalnych i odpraw w związku z przejściem na rentę z tytułu niezdolności do pracy oraz ekwiwalentów za niewykorzystany urlop wypoczynkowy dla osób zajmujących kierownicze stanowiska państwowe, dla pracowników jednostek organizacyjnych stanowiących wyodrębnioną część budżetową, w których średnioroczne zatrudnienie w roku poprzednim nie przekracza 50 osób, wraz z pochodnymi od wynagrodzeń.";18;0;0;5217;0;0;0;0;5217
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Budowa, modernizacja i utrzymanie przejść granicznych (w tym na sfinansowanie zobowiązań wynikających z umów dwustronnych dotyczących przejść granicznych) oraz utrzymanie obiektów pozostałych po przejściach granicznych na wewnętrznych granicach Schengen";19;0;0;30000;21000;0;0;0;51000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację Oświęcimskiego Strategicznego Programu Rządowego - III Etap 2007-2011";20;100;0;0;7223;0;0;0;7323
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Wydatki finansowane ze zwrotów niewykorzystanych środków kredytowych z Międzynarodowych Instytucji Finansowych";21;0;0;5000;0;0;0;0;5000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dotacje celowe na finansowanie lub dofinansowanie zadań z zakresu pomocy społecznej";22;251970;0;0;0;0;0;0;251970
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie Narodowego Programu Stypendialnego, w tym wyprawka szkolna";23;505000;0;0;0;0;0;0;505000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację programu ""Pomoc państwa w zakresie dożywiania""";24;200000;0;0;0;0;0;0;200000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na finansowanie lub dofinansowanie zadań wynikających z ustawy o przeciwdziałaniu przemocy w rodzinie";25;3376;0;0;0;0;0;0;3376
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na informatyzację oraz upowszechnianie szerokopasmowego dostępu do Internetu";26;2000;0;28500;0;0;0;0;30500
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację ustawy o zadośćuczynieniu rodzinom ofiar zbiorowych wystąpień wolnościowych w latach 1956-1989";27;0;0;8000;0;0;0;0;8000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Implementacja polskiego programu współpracy na rzecz rozwoju oraz wsparcie międzynarodowej współpracy na rzecz demokracji i społeczeństwa obywatelskiego, w tym 9 mln zł na Partnerstwo Wschodnie oraz 2,4 mln zł na dofinansowanie Specjalistycznych Studiów Wschodnich Uniwersytetu Warszawskiego";28;0;0;129000;0;0;0;0;129000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Zwrot gminom utraconych dochodów w związku ze zwolnieniem z podatku od nieruchomości w parkach narodowych i rezerwatach przyrody oraz w związku ze zwolnieniem z podatków: rolnego, od nieruchomości, leśnego przedsiębiorców o statusie centrum badawczo - rozwojowego, a także na uzupełnienie części rekompensującej subwencji ogólnej na wyrównanie ubytku dochodów w specjalnych strefach ekonomicznych";29;10000;0;0;0;0;0;0;10000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację ustawy o służbie zastępczej";30;500;0;0;0;0;0;0;500
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Programy wsparcia finansowego inwestycji";31;0;0;42000;28000;0;0;0;70000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na uzupełnienie dotacji delowych na realizację świadczeń rodzinnych i świadczenia z funduszu alimentacyjnego oraz na opłacenie składki na ubezpieczenie zdrowotne za osoby pobierające niektóre świadczenia rodzinne";32;345980;0;0;0;0;0;0;345980
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Ubezpieczenie upraw rolnych i zwierząt gospodarskich";33;0;0;100000;0;0;0;0;100000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację rządowego programu ograniczania przestępczości i aspołecznych zachowań ""Razem bezpieczniej""";34;3000;0;0;0;0;0;0;3000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Bezpieczna i przyjazna szkoła";35;6000;0;0;0;0;0;0;6000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na dofinansowanie zadań realizowanych przez zespoły do spraw orzekania o niepełnosprawności";36;2222;0;1528;0;0;0;0;3750
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Fundusz Inicjatyw Obywatelskich";37;60000;0;0;0;0;0;0;60000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie zadań związanych z Euro2012";38;0;0;0;70000;0;0;0;70000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Uzupełnienie wydatków na gospodarkę nieruchomościami";39;27000;0;0;0;0;0;0;27000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki dla samorządowych kolegiów odwoławczych";40;0;0;2538;0;0;0;0;2538
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Uzupełnienie środków na realizację Narodowego Spisu Powszechnego Ludnosci i Mieszkań 2011 i opracowanie wyników Powszechnego Spisu Rolnego 2010";41;0;0;10000;0;0;0;0;10000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Pomoc cudzoziemncom zapewniającym poprawę poziomu bezpieczeństwa żołnierzy i funkcjonariuszy poza granicami kraju";42;0;0;1000;0;0;0;0;1000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie zadań wynikających z obniżenia wieku szkolnego - środki na realizację programu ""Radosna szkoła""";43;150000;0;0;0;0;0;0;150000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie zadań własnych jednostek samorządu terytorialnego";44;0;0;0;440000;0;0;0;440000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Wspieranie zwalczania przemytu i podrabiania wyrobów tytoniowych";45;0;0;0;6295;0;0;0;6295
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Wsparcie działań w zakresie przekształceń samodzielnych publicznych zakładów opieki zdrowotnej oraz wsparcie jednostek samorządu terytorialnego w działaniach stabilizujących system ochrony zdrowia";46;671000;0;8000;297000;0;0;0;976000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Narodowy Program Przebudowy Dróg Lokalnych 2008-2011";47;0;0;0;1000000;0;0;0;1000000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Przygotowanie, obsługa i sprawowanie przewodnictwa Polski w Radzie UE w II połowie 2011 r.";48;0;0;17502;15452;0;0;0;32954
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację ""Programu modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011"" przez jednostki organizacyjne Państwowej Straży Pożarnej";49;0;0;0;12500;0;0;0;12500
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Podwyższenie wynagrodzeń nauczycieli zatrudnionych w szkołach i placówkach oświatowych prowadzonych przez organy administracji rządowej";50;0;0;26252;0;0;0;0;26252
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Utrzymanie urządzeń melioracji wodnych podstawowych i wód istotnych dla regulacji stosunków wodnych na potrzeby rolnictwa, w tym 6000 tys. zł dla spółek wodnych na realizację zadań z zakresu utrzymania melioracji wodnych szczegółowych";51;210000;0;0;0;0;0;0;210000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Zwrot części wydatków wykonanych w ramach funduszu sołeckiego w 2010 r.";52;54000;0;0;0;0;0;0;54000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Podniesienie ulgi na przewozy dla studentów do 51% oraz podniesienie ulgi dla niewidomych";53;80000;0;0;0;0;0;0;80000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Skutki zmian systemowych wynikających z art. 94 ustawy Przepisy wprowadzające ustawę o finansach publicznych w tym sfinansowanie wynagrodzeń wraz z pochodnymi";54;0;0;1004788;0;0;0;0;1004788
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Budowa Polskiego Ośrodka Szkoleniowego Ratownictwa Morskiego w Szczecinie";55;0;0;0;5500;0;0;0;5500
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie zadań z zakresu ochrony środowiska i gospodarki wodnej";56;0;0;485390;0;0;0;0;485390
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Uzupełnienie wydatków Głównego Urzędu Miar w związku z realizacją nowego zadania polegającego na badaniu kas rejestrujących";57;0;0;2000;0;0;0;0;2000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Opłaty dotyczące czarteru samolotów zewnętrznych";58;0;0;7970;0;0;0;0;7970
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na utworzenie Centrum Polsko-Rosyjskiego Dialogu i Porozumienia";59;3000;0;0;0;0;0;0;3000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Uzupełnienie wydatków na realizację ustawy o dowodach osobistych";60;0;0;41326;0;0;0;0;41326
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Ochrona odbiorcy wrażliwego energii elektrycznej";61;0;0;130000;0;0;0;0;130000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na dofinansowanie i finansowanie zadań wynikających z ustawy o wspieraniu rodziny i systemie pieczy zastępczej";62;40000;0;0;0;0;0;0;40000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki na realizację zadań wynikających z ustawy o opiece nad dziećmi w wieku do lat 3";63;40000;0;11000;0;0;0;0;51000
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Kontynuacja prac rewaloryzacyjno-remontowych zespołu budynków klasztornych w Supraślu";64;0;0;0;1200;0;0;0;1200
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Środki dla Zamku Królewskiego w Warszawie w związku z przewodnictwem Polski w Radzie UE w II połowie 2011 r.";65;0;0;0;6790;0;0;0;6790
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Finansowanie Wyższego Prawosławnego Seminarium w Warszawie";66;450;0;0;0;0;0;0;450
"Rezerwy ogólne i celowe (ogółem)";75818;"Różne rozliczenia";758;"REZERWY CELOWE (ogółem)";83;"Dofinansowanie obchodów uroczystości wydarzeń niepodległościowych roku 1981";67;1000;0;0;0;0;0;0;1000
"Środki włase Unii Europejskiej";84;"";"";"";"";"";"";0;0;0;0;0;0;15656425;15656425
"Środki włase Unii Europejskiej";84;"Różne rozliczenia";758;"";"";"";"";0;0;0;0;0;0;15656425;15656425
"Różne rozliczenia";758;"Środki włase Unii Europejskiej";84;"Rozliczenia z budżetem ogólnym Unii Europejskiej z tytułu środków własnych";75850;"";"";0;0;0;0;0;0;15656425;15656425
"Budżety wojewodów ogółem";85;"";"";"";"";"";"";18902166;24451;2793045;316044;0;306856;0;22342562
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"";"";"";"";299084;843;497601;111421;0;211301;0;1120250
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Wojewódzkie ośrodki doradztwa rolniczego";1002;"";"";154471;0;0;0;0;0;0;154471
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Prace geodezyjno-urządzeniowe na potrzeby rolnictwa";1005;"";"";14499;0;319;902;0;16441;0;32161
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Melioracje wodne";1008;"";"";126063;0;0;103258;0;103280;0;332601
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Spółki wodne";1009;"";"";3814;0;0;0;0;0;0;3814
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Zwalczanie chorób zakaźnych zwierząt, badania monitoringowe pozostałości chemicznych i biologicznych w tkankach zwierząt, produktach pochodzenia zwierzęcego";1022;"";"";0;0;31492;0;0;0;0;31492
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych";1023;"";"";0;73;26124;405;0;0;0;26602
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Inspekcja Ochrony Roślin i Nasiennictwa";1032;"";"";0;472;106334;1753;0;0;0;108559
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Wojewódzkie inspektoraty weterynarii";1033;"";"";0;119;106937;4295;0;0;0;111351
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Powiatowe inspektoraty weterynarii";1034;"";"";0;168;225881;808;0;0;0;226857
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Program Rozwoju Obszarów Wiejskich 2007-2013";1041;"";"";0;0;0;0;0;90830;0;90830
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Usuwanie skutków klęsk żywiołowych";1078;"";"";0;0;0;0;0;750;0;750
"Budżety wojewodów ogółem";85;"Rolnictwo i łowiectwo";10;"Pozostała działalność";1095;"";"";237;11;514;0;0;0;0;762
